hour,dayofweek,is_weekend,avg_utilization,median_utilization,p25_utilization,p75_utilization,sample_count
0,0,0,0.1721015873015873,0.164,0.109,0.226,6300
0,1,0,0.17182222222222224,0.165,0.108,0.227,6300
0,2,0,0.17100809523809526,0.164,0.108,0.224,6300
0,3,0,0.17039809523809524,0.162,0.108,0.225,6300
0,4,0,0.17089126984126984,0.165,0.109,0.225,6300
0,5,1,0.1673831746031746,0.169,0.117,0.217,6300
0,6,1,0.16696777777777777,0.168,0.117,0.217,6300
1,0,0,0.12293079365079367,0.106,0.055,0.169,6300
1,1,0,0.12242269841269841,0.105,0.054,0.169,6300
1,2,0,0.12272126984126984,0.106,0.055,0.168,6300
1,3,0,0.12255031746031746,0.106,0.055,0.167,6300
1,4,0,0.12263968253968253,0.106,0.055,0.168,6300
1,5,1,0.11702952380952382,0.109,0.059,0.155,6300
1,6,1,0.11711761904761905,0.108,0.06,0.154,6300
2,0,0,0.08809015873015873,0.069,0.033,0.114,6300
2,1,0,0.0875895238095238,0.068,0.033,0.112,6300
2,2,0,0.08760952380952382,0.069,0.033,0.112,6300
2,3,0,0.0871847619047619,0.069,0.033,0.112,6300
2,4,0,0.08747412698412699,0.069,0.033,0.112,6300
2,5,1,0.08265095238095238,0.07,0.035,0.101,6300
2,6,1,0.08304555555555555,0.07,0.035,0.102,6300
3,0,0,0.07192301587301587,0.056,0.025,0.09,6300
3,1,0,0.0716579365079365,0.055,0.02475,0.09,6300
3,2,0,0.07142698412698413,0.055,0.024,0.09,6300
3,3,0,0.07148349206349207,0.055,0.025,0.09,6300
3,4,0,0.07135761904761904,0.055,0.024,0.089,6300
3,5,1,0.06762444444444445,0.057,0.024,0.082,6300
3,6,1,0.06742873015873016,0.0565,0.023,0.083,6300
4,0,0,0.07166857142857143,0.06,0.02475,0.09,6300
4,1,0,0.07137492063492064,0.061,0.025,0.09,6300
4,2,0,0.07096492063492063,0.06,0.024,0.09,6300
4,3,0,0.07076666666666666,0.06,0.02475,0.09,6300
4,4,0,0.07090412698412699,0.06,0.024,0.09,6300
4,5,1,0.0675273015873016,0.062,0.024,0.084,6300
4,6,1,0.06765,0.061,0.024,0.084,6300
5,0,0,0.09224222222222221,0.09,0.056,0.119,6300
5,1,0,0.09158301587301587,0.089,0.055,0.118,6300
5,2,0,0.09142619047619048,0.088,0.054,0.117,6300
5,3,0,0.09115063492063492,0.088,0.055,0.117,6300
5,4,0,0.09166809523809524,0.088,0.055,0.117,6300
5,5,1,0.0890673015873016,0.087,0.059,0.117,6300
5,6,1,0.08872904761904762,0.086,0.059,0.117,6300
6,0,0,0.15453460317460319,0.138,0.109,0.181,6300
6,1,0,0.15373539682539683,0.137,0.109,0.181,6300
6,2,0,0.15372095238095237,0.137,0.108,0.18,6300
6,3,0,0.15361968253968253,0.137,0.108,0.18,6300
6,4,0,0.15338698412698412,0.137,0.108,0.18,6300
6,5,1,0.14680142857142858,0.13,0.097,0.171,6300
6,6,1,0.1465515873015873,0.129,0.096,0.171,6300
7,0,0,0.30379253968253966,0.287,0.226,0.373,6300
7,1,0,0.301615873015873,0.286,0.225,0.371,6300
7,2,0,0.3009914285714286,0.281,0.224,0.368,6300
7,3,0,0.30079555555555554,0.283,0.224,0.37,6300
7,4,0,0.3014184126984127,0.285,0.224,0.37024999999999997,6300
7,5,1,0.27119444444444446,0.243,0.171,0.339,6300
7,6,1,0.27082222222222224,0.244,0.175,0.337,6300
8,0,0,0.471274126984127,0.454,0.362,0.583,6300
8,1,0,0.46662111111111115,0.449,0.36,0.581,6300
8,2,0,0.4648369841269841,0.447,0.355,0.575,6300
8,3,0,0.46553349206349204,0.446,0.36,0.577,6300
8,4,0,0.4658933333333334,0.447,0.36,0.575,6300
8,5,1,0.400514126984127,0.392,0.274,0.534,6300
8,6,1,0.39836,0.391,0.276,0.53125,6300
9,0,0,0.546365873015873,0.537,0.433,0.678,6300
9,1,0,0.5450779365079365,0.534,0.433,0.673,6300
9,2,0,0.5427896825396825,0.529,0.43,0.669,6300
9,3,0,0.5439985714285714,0.53,0.432,0.671,6300
9,4,0,0.5434930158730159,0.534,0.432,0.67225,6300
9,5,1,0.4656561904761905,0.481,0.348,0.62225,6300
9,6,1,0.4668174603174603,0.484,0.343,0.626,6300
10,0,0,0.6076506666666667,0.607,0.493,0.756,6000
10,1,0,0.6071452380952381,0.604,0.49,0.757,6300
10,2,0,0.6091295238095238,0.606,0.491,0.769,6300
10,3,0,0.606643492063492,0.607,0.492,0.756,6300
10,4,0,0.605795873015873,0.602,0.48575,0.76125,6300
10,5,1,0.5260873015873015,0.545,0.389,0.706,6300
10,6,1,0.5257236507936508,0.544,0.388,0.711,6300
11,0,0,0.6617098333333333,0.673,0.543,0.839,6000
11,1,0,0.6622411111111111,0.674,0.545,0.843,6300
