station_id,city,state,location_type,charger_type,ports_total,power_output_kw,total_capacity_kw,avg_utilization,p90_utilization,bottleneck_prob_gt80
EV00144,San Francisco,CA,Highway Corridor,DC Fast Charge,24,100.0,2400.0,0.6413831187410587,0.98,0.4831187410586552
EV00050,San Francisco,CA,Urban Center,DC Fast Charge,4,350.0,1400.0,0.5924771849520812,0.98,0.44900586468316406
EV00149,San Francisco,CA,Urban Center,DC Fast Charge,4,350.0,1400.0,0.5924716063510228,0.98,0.447003289944214
EV00001,Los Angeles,CA,Shopping Center,DC Fast Charge,6,19.2,115.2,0.5746505007153075,0.98,0.41201716738197425
EV00014,Los Angeles,CA,Shopping Center,DC Fast Charge,4,150.0,600.0,0.5730015734515805,0.98,0.4073809183235589
EV00080,Seattle,WA,Shopping Center,DC Fast Charge,8,150.0,1200.0,0.5616731511943928,0.98,0.3780575025032184
EV00091,San Diego,CA,Shopping Center,Level 2,10,7.2,72.0,0.545904162494636,0.98,0.3481619224717494
EV00143,Los Angeles,CA,Urban Center,DC Fast Charge,6,50.0,300.0,0.5431977110157368,0.98,0.3419170243204578
EV00127,San Diego,CA,Shopping Center,Level 2,8,19.2,153.6,0.5442583690987124,0.98,0.34120171673819744
EV00016,Los Angeles,CA,Urban Center,DC Fast Charge,4,62.5,250.0,0.5425301101416107,0.98,0.33857817193534545
EV00045,Los Angeles,CA,Urban Center,DC Fast Charge,8,150.0,1200.0,0.5408406522672007,0.98,0.33628951509083105
EV00118,San Francisco,CA,Hotel/Hospitality,Level 2,6,7.2,43.2,0.5812250035760264,0.98,0.330424831926763
EV00112,San Francisco,CA,Hotel/Hospitality,Level 2,2,7.2,14.4,0.5813095851216022,0.98,0.32703862660944205
EV00122,San Francisco,CA,Airport,DC Fast Charge,12,150.0,1800.0,0.5825025032184237,0.98,0.3267057645544271
EV00048,San Francisco,CA,Airport,DC Fast Charge,12,350.0,4200.0,0.5802978540772532,0.98,0.323032904148784
EV00114,San Francisco,CA,Airport,DC Fast Charge,4,150.0,600.0,0.5802121602288984,0.98,0.32045779685264664
EV00034,Seattle,WA,Highway Corridor,Level 2,8,7.2,57.6,0.5686325275354026,0.98,0.315977685595766
EV00094,Seattle,WA,Highway Corridor,Tesla DC Fast,8,350.0,2800.0,0.567562660944206,0.98,0.31187410586552217
EV00123,Seattle,WA,Urban Center,Level 2,8,7.2,57.6,0.5287027606923187,0.98,0.3073952224288371
EV00081,Seattle,WA,Urban Center,Level 2,4,19.2,76.8,0.5271183118741058,0.98,0.303862660944206
EV00092,San Diego,CA,Highway Corridor,Tesla DC Fast,24,350.0,8400.0,0.5501081545064378,0.98,0.2792560801144492
EV00107,Austin,TX,Shopping Center,Tesla DC Fast,10,350.0,3500.0,0.5120622228579602,0.98,0.2714919181805178
EV00064,Austin,TX,Shopping Center,DC Fast Charge,10,19.2,192.0,0.5105378343584609,0.98,0.27049063081104274
EV00038,San Francisco,CA,Workplace,Hyper-Fast,8,350.0,2800.0,0.3453830639393506,0.98,0.2617651265913317
EV00030,San Francisco,CA,Workplace,Tesla DC Fast,8,250.0,2000.0,0.34523204577968525,0.98,0.26123032904148785
EV00067,Los Angeles,CA,Workplace,Level 2,2,100.0,200.0,0.32755571449005866,0.98,0.24831926762980974
EV00089,Denver,CO,Shopping Center,Level 2,6,50.0,300.0,0.4980170243204578,0.95,0.24062947067238913
EV00140,Boston,MA,Shopping Center,Tesla DC Fast,12,350.0,4200.0,0.4971708154506438,0.951,0.23862660944206007
EV00044,Boston,MA,Shopping Center,Level 2,4,7.2,28.8,0.49575422031473537,0.949,0.23505007153075821
EV00115,San Diego,CA,Workplace,DC Fast Charge,4,150.0,600.0,0.3153319027181688,0.98,0.22989985693848355
EV00053,Portland,OR,Urban Center,Tesla DC Fast,8,150.0,1200.0,0.49371831187410586,0.938,0.22432045779685264
EV00093,Portland,OR,Workplace,Level 2,8,7.2,57.6,0.3098518094693177,0.98,0.22114146760120154
EV00105,Portland,OR,Workplace,DC Fast Charge,8,50.0,400.0,0.3093507868383405,0.98,0.21688125894134477
EV00076,Portland,OR,Workplace,DC Fast Charge,2,150.0,300.0,0.30833857817193533,0.98,0.21584894864826204
EV00110,Austin,TX,Workplace,Tesla DC Fast,4,250.0,1000.0,0.29975522174535046,0.98,0.2015736766809728
EV00035,Austin,TX,Highway Corridor,Level 2,8,7.2,57.6,0.5104386266094421,0.913,0.19570815450643778
EV00009,Austin,TX,Highway Corridor,Level 2,24,7.2,172.8,0.5094959233299957,0.91,0.1941067086253755
EV00018,Los Angeles,CA,Airport,Level 2,8,7.2,57.6,0.5132972393076812,0.89,0.18981547704191104
EV00077,Los Angeles,CA,Airport,Level 2,8,7.2,57.6,0.5140573676680973,0.891,0.18941344778254648
EV00047,Denver,CO,Workplace,Level 2,4,7.2,28.8,0.2928512160228898,0.961,0.18526466380543632
EV00049,Boston,MA,Workplace,Level 2,8,7.2,57.6,0.29212889842632334,0.963,0.18283261802575107
EV00041,Denver,CO,Workplace,Level 2,6,7.2,43.2,0.2927756795422031,0.965,0.18254649499284692
EV00031,Denver,CO,Workplace,Hyper-Fast,6,150.0,900.0,0.2920137319410671,0.956,0.1790873980832499
EV00019,Boston,MA,Highway Corridor,Tesla DC Fast,20,150.0,3000.0,0.4973118741058655,0.885,0.17195994277539342
EV00061,Denver,CO,Highway Corridor,Level 2,24,19.2,460.8,0.4957351931330472,0.8791000000000003,0.1669527896995708
EV00015,New York,NY,Shopping Center,DC Fast Charge,10,350.0,3500.0,0.45841753683307107,0.87,0.1613503075382635
EV00021,Seattle,WA,Suburban,DC Fast Charge,6,150.0,900.0,0.4974797596910313,0.859,0.15920469174653126
EV00032,Seattle,WA,Suburban,DC Fast Charge,6,350.0,2100.0,0.4973995708154506,0.861,0.1582260371959943
EV00109,Boston,MA,Urban Center,Level 2,4,62.5,250.0,0.4589816881258942,0.862,0.15536480686695278
EV00079,Seattle,WA,Airport,Level 2,8,125.0,1000.0,0.4960243204577969,0.857,0.15436337625178828
EV00068,Denver,CO,Urban Center,DC Fast Charge,6,50.0,300.0,0.45779771101573674,0.862,0.15278969957081545
EV00028,Las Vegas,NV,Shopping Center,Level 2,6,7.2,43.2,0.45224803318552426,0.857,0.1519095980546417
EV00102,Seattle,WA,Suburban,Tesla DC Fast,6,250.0,1500.0,0.49619842632331906,0.85,0.15150214592274677
EV00069,Boston,MA,Urban Center,DC Fast Charge,2,350.0,700.0,0.4585267525035765,0.857,0.15107296137339055
EV00051,Las Vegas,NV,Shopping Center,Level 2,8,62.5,500.0,0.45083578887140613,0.857,0.14633099699613789
EV00022,New York,NY,Workplace,Hyper-Fast,2,150.0,300.0,0.27159256080114447,0.87,0.1363376251788269
