station_id,station_name,city,state,latitude,longitude,location_type,charger_type,ports_total,power_output_kw,total_capacity_kw,avg_utilization,min_utilization,max_utilization,std_utilization,p75_utilization,p90_utilization
EV00001,ChargePoint - Los Angeles #1,Los Angeles,CA,34.012362,-118.114786,Shopping Center,DC Fast Charge,6,19.2,115.2,0.5743682413204325,0.02,0.98,0.37274988666954967,0.9662499999999999,0.98
EV00002,Electrify America - Seattle #2,Seattle,WA,47.506806,-122.433202,Residential,DC Fast Charge,4,150.0,600.0,0.33538659647125785,0.04,0.98,0.2676598417670214,0.464,0.793
EV00003,Electrify America - Atlanta #3,Atlanta,GA,33.780335,-84.327578,Urban Center,Hyper-Fast,8,150.0,1200.0,0.3559487763232783,0.02,0.98,0.24530192522320807,0.556,0.664
EV00004,ChargePoint - Minneapolis #4,Minneapolis,MN,45.079733,-93.356298,Hotel/Hospitality,DC Fast Charge,6,7.2,43.2,0.34715665907797383,0.046,0.883,0.19317962794276913,0.507,0.594
EV00005,Blink - Phoenix #5,Phoenix,AZ,33.391273,-112.062573,Workplace,DC Fast Charge,6,7.2,43.2,0.2581745873648264,0.02,0.98,0.32372266810243844,0.55425,0.82
EV00006,EVgo - Phoenix #6,Phoenix,AZ,33.483556,-112.178152,Shopping Center,DC Fast Charge,8,150.0,1200.0,0.4303053500284576,0.02,0.98,0.29909623859706336,0.673,0.8173000000000001
EV00007,Electrify America - Minneapolis #7,Minneapolis,MN,44.966821,-93.184447,Airport,Hyper-Fast,10,150.0,1500.0,0.3449277177006261,0.043,0.956,0.19168354856943745,0.501,0.5953000000000002
EV00008,Volta - Minneapolis #8,Minneapolis,MN,45.007724,-93.406065,Shopping Center,Level 2,6,7.2,43.2,0.4143254126351736,0.02,0.98,0.2883848153656843,0.644,0.782
EV00009,Volta - Austin #9,Austin,TX,30.171157,-97.870485,Highway Corridor,Level 2,24,7.2,172.8,0.5094369664200341,0.03,0.98,0.3022314870940964,0.754,0.9113000000000002
EV00010,Volta - San Diego #10,San Diego,CA,32.85969,-117.067481,Hotel/Hospitality,Level 2,4,7.2,28.8,0.4769116391576551,0.064,0.98,0.26350083855818135,0.6902499999999999,0.822
EV00011,Shell Recharge - Phoenix #11,Phoenix,AZ,33.329302,-112.01473,Workplace,DC Fast Charge,6,50.0,300.0,0.2562832953898691,0.02,0.98,0.32157656427097964,0.53825,0.814
EV00012,ChargePoint - Atlanta #12,Atlanta,GA,33.748553,-84.529683,Airport,Level 2,12,19.2,230.4,0.3270278884462151,0.043,0.86,0.18194119160142638,0.477,0.562
EV00013,Blink - Austin #13,Austin,TX,30.318757,-97.796487,Airport,DC Fast Charge,4,19.2,76.8,0.436534718269778,0.061,0.98,0.24156429643274924,0.634,0.749
EV00014,Electrify America - Los Angeles #14,Los Angeles,CA,33.955456,-118.109125,Shopping Center,DC Fast Charge,4,150.0,600.0,0.5726183836084234,0.02,0.98,0.3712156696054006,0.959,0.98
EV00015,Electrify America - New York #15,New York,NY,40.828448,-73.98063,Shopping Center,DC Fast Charge,10,350.0,3500.0,0.4583548662492886,0.02,0.98,0.3163698262107371,0.718,0.87
EV00016,ChargePoint - Los Angeles #16,Los Angeles,CA,33.958795,-118.386432,Urban Center,DC Fast Charge,4,62.5,250.0,0.5419887592487195,0.02,0.98,0.3590031317808112,0.881,0.98
EV00017,Electrify America - Las Vegas #17,Las Vegas,NV,36.101405,-115.041379,Urban Center,DC Fast Charge,2,350.0,700.0,0.4116254980079681,0.02,0.98,0.2840983295740485,0.64125,0.772
EV00018,Volta - Los Angeles #18,Los Angeles,CA,34.062809,-118.357723,Airport,Level 2,8,7.2,57.6,0.5129695503699487,0.071,0.98,0.28185813434385537,0.748,0.89
EV00019,Tesla Supercharger - Boston #19,Boston,MA,42.232365,-70.913934,Highway Corridor,Tesla DC Fast,20,150.0,3000.0,0.49741989186112695,0.033,0.98,0.2970002776444718,0.736,0.885
